Verb,Reading,Verb Group,Meaning
書く,かく,GODAN,to write
行く,いく,GODAN,to go
話す,はなす,GODAN,to talk
待つ,まつ,GODAN,to wait
死ぬ,しぬ,GODAN,to die
読む,よむ,GODAN,to read
乗る,のる,GODAN,to ride
ある,ある,GODAN,to be (nonliving)
買う,かう,GODAN,to buy
泳ぐ,およぐ,GODAN,to swim
呼ぶ,よぶ,GODAN,to call
おっしゃる,おっしゃる,POLITE,to say (honorific)
見る,みる,ICHIDAN,to see
寝る,ねる,ICHIDAN,to go to bed
する,する,SURU,to do
来る,くる,KURU,to come
