Counter,Reading,Type,Meaning (Singular),Meaning (Plural),Max number,Meaning (1),Meaning (2),Meaning (3),Meaning (4),Meaning (5),Meaning (6),Meaning (7),Meaning (8),Meaning (9),Meaning (10),Irregular reading (1),Irregular reading (2),Irregular reading (3),Irregular reading (4),Irregular reading (5),Irregular reading (6),Irregular reading (7),Irregular reading (8),Irregular reading (9),Irregular reading (10)
号,ごう,A1,,,,car No. one; building No. one; issue No. one,car No. two; building No. two; issue No. two,car No. three; building No. three; issue No. three,car No. four; building No. four; issue No. four,car No. five; building No. five; issue No. five,car No. six; building No. six; issue No. six,car No. seven; building No. seven; issue No. seven,car No. eight; building No. eight; issue No. eight,car No. nine; building No. nine; issue No. nine,car No. ten; building No. ten; issue No. ten,,,,,,,,,,
皿,さら,D1,dish/plate,dishes/plates,,,,,,,,,,,,ひとさら,ふたさら,みさら;さんさら,,,,,,,
字,じ,A1,letter/character,letters/characters,,,,,,,,,,,,,,,,,,,,,
社,しゃ,D1,company,companies,,,,,,,,,,,,,,,,,,,,,
周,しゅう,D1,round/lap,rounds/laps,,,,,,,,,,,,,,,,,,,,,
週間,しゅうかん,D1,week,weeks,,,,,,,,,,,,,,,,,,,,,
種（類）,しゅ;しゅるい,D1,kind,kinds,,,,,,,,,,,,,,,,,,,,,
章,しょう,D1,chapter,chapters,,,,,,,,,,,,,,,,,,,,,
升,しょう,D1,sho (≈ 1.8 liters),sho (≈ 1.8 liters),,,,,,,,,,,,,,,,,,,,,
食,しょく,D1,meal,meals,,,,,,,,,,,,,,,,,,,,,
色,しょく,D1,color,colors,,,,,,,,,,,,,,,,,,なないろ,,,
世紀,せいき,D1,,,,first century,second century,third century,fourth century,fifth century,sixth century,seventh century,eighth century,ninth century,tenth century,,,,,,,,,,
世帯,せたい,D1,,,,one-household; one family,two-household; two families,three-household; three families,four-household; four families,five-household; five families,six-household; six families,seven-household; seven families,eight-household; eight families,nine-household; nine families,ten-household; ten families,,,,,,,,,,
世代,せだい,D1,generation,generations,,,,,,,,,,,,,,,,,,,,,
銭,せん,D1,sen (hundredth of a yen),sen (hundredth of a yen),,,,,,,,,,,,,,,,,,,,,
センチ,せんち,D1,centimeter,centimeters,,,,,,,,,,,,,,,,,,,,,
セント,せんと,D1,cent,cents,,,,,,,,,,,,,,,,,,,,,
ダース,だーす,A1,dozen,dozens,,,,,,,,,,,,,,,,,,,,,
題,だい,A1,problem/question/title,problems/questions/titles,,,,,,,,,,,,,,,,,,,,,
台,だい,A1,machine/vehicle,machines/vehicles,,,,,,,,,,,,,,,,,,,,,
段,だん,A1,step/tier/level,steps/tiers/levels,,,,,,,,,,,,,,,,,,,,,
段落,だんらく,A1,paragraph,paragraphs,,,,,,,,,,,,,,,,,,,,,
着,ちゃく,F,article of clothing,articles of clothing,,,,,,,,,,,,,,,,,,,,,
丁,ちょう,F,"long and narrow tool (guns, scissors, etc.)/block of tofu/serving in a restaurant","long and narrow tools (guns, scissors, etc.)/blocks of tofu/servings in a restaurant",,,,,,,,,,,,,,,,,,,,,
丁目,ちょうめ,F,,,,first district,second district,third district,fourth district,fifth district,sixth district,seventh district,eighth district,ninth district,tenth district,,,,,,,,,,
月,つき,IRREGULAR,month (small numbers),months (small numbers),4,,,,,,,,,,,ひとつき,ふたつき,みつき,よつき,,,,,,
坪,つぼ,F,tsubo (≈ 3.9 square yards),tsubo (≈ 3.9 square yards),,,,,,,,,,,,ひとつぼ,ふたつぼ,,,,,,,,
滴,てき,F,drop (of liquid),drops (of liquid),,,,,,,,,,,,,,,,,,,,,
点,てん,F,point,points,,,,,,,,,,,,,,,,,,,,,
