Predicate,Reading,Predicate Group
させて頂く,させていただく,GODAN
火がつく,ひがつく,GODAN
嫌になる,いやになる,GODAN
居なくなる,いなくなる,GODAN
明らかになる,あきらかになる,GODAN
人気がある,にんきがある,ARU
気がある,きがある,ARU
気を失う,きをうしなう,GODAN
ことが出来る,ことができる,ICHIDAN
気をつける,きをつける,ICHIDAN
電話をかける,でんわをかける,ICHIDAN
帰って来る,かえってくる,KURU
持ってくる,もってくる,KURU
連れてくる,つれてくる,KURU
いい子,いいこ,NOUN
母の日,ははのひ,NOUN
目の前,めのまえ,NOUN
酢の物,すのもの,NOUN
どの位,どのくらい,NOUN
明らかにする,あきらかにする,SURU
気がする,きがする,SURU
話をする,はなしをする,SURU
持って行く,もっていく,GODAN
お出でになる,おいでになる,GODAN
ご覧になる,ごらんになる,GODAN
に依る,による,GODAN
様になる,ようになる,GODAN
気に入る,きにいる,GODAN
雨が降る,あめがふる,GODAN
事がある,ことがある,GODAN
役に立つ,やくにたつ,GODAN
しかない,しかない,I_ADJECTIVE
じゃない,じゃない,I_ADJECTIVE
では無い,ではない,I_ADJECTIVE
やむを得ない,やむをえない,I_ADJECTIVE
事が無い,ことがない,I_ADJECTIVE
仕様が無い,しょうがない,I_ADJECTIVE
何処にもない,どこにもない,I_ADJECTIVE
切りがない,きりがない,I_ADJECTIVE
堪らない,たまらない,I_ADJECTIVE
無くてはならない,なくてはならない,I_ADJECTIVE
申し訳ない,もうしわけない,I_ADJECTIVE
違いない,ちがいない,I_ADJECTIVE
付いてる,ついてる,ICHIDAN
気を付ける,きをつける,ICHIDAN
やって来る,やってくる,KURU
持って来る,もってくる,KURU
連れて来る,つれてくる,KURU
ご苦労さま,ごくろうさま,NA_ADJECTIVE
世の中,よのなか,NOUN
女の人,おんなのひと,NOUN
女の子,おんなのこ,NOUN
我が国,わがくに,NOUN
男の人,おとこのひと,NOUN
男の子,おとこのこ,NOUN
絵の具,えのぐ,NOUN
見た目,みため,NOUN
身の回り,みのまわり,NOUN
髪の毛,かみのけ,NOUN
その他,そのほか,NOUN
その頃,そのころ,NOUN
つかの間,つかのま,NOUN
事にする,ことにする,SURU
下さる,くださる,POLITE
いらっしゃる,いらっしゃる,POLITE
仰っしゃる,おっしゃる,POLITE
為さる,なさる,POLITE
行く,いく,GODAN
連れて行く,つれていく,GODAN
喜ぶ,よろこぶ,GODAN
学ぶ,まなぶ,GODAN
浮かぶ,うかぶ,GODAN
並ぶ,ならぶ,GODAN
及ぶ,およぶ,GODAN
叫ぶ,さけぶ,GODAN
転ぶ,ころぶ,GODAN
遊ぶ,あそぶ,GODAN
飛ぶ,とぶ,GODAN
呼ぶ,よぶ,GODAN
忍ぶ,しのぶ,GODAN
結ぶ,むすぶ,GODAN
貴ぶ,とうとぶ,GODAN
運ぶ,はこぶ,GODAN
選ぶ,えらぶ,GODAN
