Predicate,Reading,Predicate Group
呼び止める,よびとめる,ICHIDAN
命じる,めいじる,ICHIDAN
和らげる,やわらげる,ICHIDAN
咎める,とがめる,ICHIDAN
咥える,くわえる,ICHIDAN
唱える,となえる,ICHIDAN
問い合わせる,といあわせる,ICHIDAN
固める,かためる,ICHIDAN
埋める,うめる,ICHIDAN
報じる,ほうじる,ICHIDAN
変える,かえる,ICHIDAN
夢見る,ゆめみる,ICHIDAN
奏でる,かなでる,ICHIDAN
妨げる,さまたげる,ICHIDAN
始める,はじめる,ICHIDAN
定める,さだめる,ICHIDAN
宛てる,あてる,ICHIDAN
寄せる,よせる,ICHIDAN
寝かせる,ねかせる,ICHIDAN
尋ねる,たずねる,ICHIDAN
届ける,とどける,ICHIDAN
嵌める,はめる,ICHIDAN
帯びる,おびる,ICHIDAN
広げる,ひろげる,ICHIDAN
広める,ひろめる,ICHIDAN
延べる,のべる,ICHIDAN
建てる,たてる,ICHIDAN
引き上げる,ひきあげる,ICHIDAN
引き下げる,ひきさげる,ICHIDAN
引き受ける,ひきうける,ICHIDAN
引き止める,ひきとめる,ICHIDAN
引っ掛ける,ひっかける,ICHIDAN
弱める,よわめる,ICHIDAN
強いる,しいる,ICHIDAN
強める,つよめる,ICHIDAN
当てはめる,あてはめる,ICHIDAN
当てる,あてる,ICHIDAN
待たせる,またせる,ICHIDAN
得る,える,ICHIDAN
心がける,こころがける,ICHIDAN
心得る,こころえる,ICHIDAN
忘れる,わすれる,ICHIDAN
恐れる,おそれる,ICHIDAN
慰める,なぐさめる,ICHIDAN
手がける,てがける,ICHIDAN
打ち合わせる,うちあわせる,ICHIDAN
打付ける,ぶつける,ICHIDAN
抑える,おさえる,ICHIDAN
投げる,なげる,ICHIDAN
投じる,とうじる,ICHIDAN
抱える,かかえる,ICHIDAN
押さえる,おさえる,ICHIDAN
拵える,こしらえる,ICHIDAN
持ち上げる,もちあげる,ICHIDAN
捕まえる,つかまえる,ICHIDAN
捕らえる,とらえる,ICHIDAN
捧げる,ささげる,ICHIDAN
捨てる,すてる,ICHIDAN
据える,すえる,ICHIDAN
授ける,さずける,ICHIDAN
掛ける,かける,ICHIDAN
控える,ひかえる,ICHIDAN
掲げる,かかげる,ICHIDAN
揃える,そろえる,ICHIDAN
換える,かえる,ICHIDAN
損ねる,そこねる,ICHIDAN
撫でる,なでる,ICHIDAN
支える,ささえる,ICHIDAN
改める,あらためる,ICHIDAN
攻める,せめる,ICHIDAN
教える,おしえる,ICHIDAN
数える,かぞえる,ICHIDAN
整える,ととのえる,ICHIDAN
早める,はやめる,ICHIDAN
曲げる,まげる,ICHIDAN
替える,かえる,ICHIDAN
染める,そめる,ICHIDAN
案じる,あんじる,ICHIDAN
植える,うえる,ICHIDAN
構える,かまえる,ICHIDAN
止める,とめる,ICHIDAN
止める,やめる,ICHIDAN
比べる,くらべる,ICHIDAN
求める,もとめる,ICHIDAN
決める,きめる,ICHIDAN
沈める,しずめる,ICHIDAN
治める,おさめる,ICHIDAN
泊める,とめる,ICHIDAN
浮かべる,うかべる,ICHIDAN
浴びる,あびる,ICHIDAN
深める,ふかめる,ICHIDAN
混ぜる,まぜる,ICHIDAN
添える,そえる,ICHIDAN
済ませる,すませる,ICHIDAN
温める,あたためる,ICHIDAN
溜める,ためる,ICHIDAN
演じる,えんじる,ICHIDAN
漬ける,つける,ICHIDAN
炒める,いためる,ICHIDAN
点ける,つける,ICHIDAN
煮る,にる,ICHIDAN
煽てる,おだてる,ICHIDAN
片付ける,かたづける,ICHIDAN
狭める,せばめる,ICHIDAN
率いる,ひきいる,ICHIDAN
生ける,いける,ICHIDAN
生じる,しょうじる,ICHIDAN
用いる,もちいる,ICHIDAN
申し上げる,もうしあげる,ICHIDAN
申し入れる,もうしいれる,ICHIDAN
申し出る,もうしでる,ICHIDAN
留める,とどめる,ICHIDAN
痛める,いためる,ICHIDAN
看る,みる,ICHIDAN
真似る,まねる,ICHIDAN
眺める,ながめる,ICHIDAN
着せる,きせる,ICHIDAN
着る,きる,ICHIDAN
知らせる,しらせる,ICHIDAN
確かめる,たしかめる,ICHIDAN
禁じる,きんじる,ICHIDAN
究める,きわめる,ICHIDAN
立てる,たてる,ICHIDAN
築き上げる,きずきあげる,ICHIDAN
組み合わせる,くみあわせる,ICHIDAN
組み立てる,くみたてる,ICHIDAN
結び付ける,むすびつける,ICHIDAN
絞める,しめる,ICHIDAN
統べる,すべる,ICHIDAN
綴じる,とじる,ICHIDAN
締める,しめる,ICHIDAN
緩める,ゆるめる,ICHIDAN
縮める,ちぢめる,ICHIDAN
繋げる,つなげる,ICHIDAN
繰り広げる,くりひろげる,ICHIDAN
纏める,まとめる,ICHIDAN
考える,かんがえる,ICHIDAN
育てる,そだてる,ICHIDAN
背ける,そむける,ICHIDAN
舐める,なめる,ICHIDAN
苛める,いじめる,ICHIDAN
苦しめる,くるしめる,ICHIDAN
茹でる,ゆでる,ICHIDAN
蓄える,たくわえる,ICHIDAN
薄める,うすめる,ICHIDAN
被せる,かぶせる,ICHIDAN
褒める,ほめる,ICHIDAN
見かける,みかける,ICHIDAN
見せつける,みせつける,ICHIDAN
見せる,みせる,ICHIDAN
見つける,みつける,ICHIDAN
見つめる,みつめる,ICHIDAN
見る,みる,ICHIDAN
見上げる,みあげる,ICHIDAN
見付ける,みつける,ICHIDAN
見合わせる,みあわせる,ICHIDAN
見違える,みちがえる,ICHIDAN
覚える,おぼえる,ICHIDAN
言いつける,いいつける,ICHIDAN
言付ける,ことづける,ICHIDAN
訪ねる,たずねる,ICHIDAN
訪れる,おとずれる,ICHIDAN
設ける,もうける,ICHIDAN
訴える,うったえる,ICHIDAN
診る,みる,ICHIDAN
試みる,こころみる,ICHIDAN
詫びる,わびる,ICHIDAN
詰める,つめる,ICHIDAN
話しかける,はなしかける,ICHIDAN
誂える,あつらえる,ICHIDAN
認める,みとめる,ICHIDAN
読み上げる,よみあげる,ICHIDAN
調べる,しらべる,ICHIDAN
論じる,ろんじる,ICHIDAN
諦める,あきらめる,ICHIDAN
責める,せめる,ICHIDAN
賭ける,かける,ICHIDAN
越える,こえる,ICHIDAN
踏まえる,ふまえる,ICHIDAN
辞める,やめる,ICHIDAN
込める,こめる,ICHIDAN
迎える,むかえる,ICHIDAN
近づける,ちかづける,ICHIDAN
述べる,のべる,ICHIDAN
追いかける,おいかける,ICHIDAN
退ける,のける,ICHIDAN
連ねる,つらねる,ICHIDAN
連れる,つれる,ICHIDAN
進める,すすめる,ICHIDAN
遂げる,とげる,ICHIDAN
違える,ちがえる,ICHIDAN
遣り遂げる,やりとげる,ICHIDAN
避ける,さける,ICHIDAN
重ねる,かさねる,ICHIDAN
重んじる,おもんじる,ICHIDAN
鋳る,いる,ICHIDAN
鍛える,きたえる,ICHIDAN
閉める,しめる,ICHIDAN
開ける,あける,ICHIDAN
間違える,まちがえる,ICHIDAN
隔てる,へだてる,ICHIDAN
集める,あつめる,ICHIDAN
震わせる,ふるわせる,ICHIDAN
預ける,あずける,ICHIDAN
顧みる,かえりみる,ICHIDAN
食べる,たべる,ICHIDAN
駆り立てる,かりたてる,ICHIDAN
高める,たかめる,ICHIDAN
終える,おえる,ICHIDAN
続ける,つづける,ICHIDAN
着替える,きがえる,ICHIDAN
閉じる,とじる,ICHIDAN
来る,くる,KURU
いい加減,いいかげん,NA_ADJECTIVE
イコール,いこーる,NA_ADJECTIVE
エレガント,えれがんと,NA_ADJECTIVE
シック,しッく,NA_ADJECTIVE
スペシャル,すぺしゃる,NA_ADJECTIVE
ぞんざい,ぞんざい,NA_ADJECTIVE
タイムリー,たいむりー,NA_ADJECTIVE
ハイ,はい,NA_ADJECTIVE
ハンサム,はんさむ,NA_ADJECTIVE
フリー,ふりー,NA_ADJECTIVE
ふんだん,ふんだん,NA_ADJECTIVE
ぺこぺこ,ぺこぺこ,NA_ADJECTIVE
モダン,もだん,NA_ADJECTIVE
ユニーク,ゆにーく,NA_ADJECTIVE
ルーズ,るーず,NA_ADJECTIVE
丈夫,じょうぶ,NA_ADJECTIVE
人工的,じんこうてき,NA_ADJECTIVE
余計,よけい,NA_ADJECTIVE
便利,べんり,NA_ADJECTIVE
個人的,こじんてき,NA_ADJECTIVE
偉大,いだい,NA_ADJECTIVE
傾らか,なだらか,NA_ADJECTIVE
先天的,せんてんてき,NA_ADJECTIVE
克明,こくめい,NA_ADJECTIVE
公的,こうてき,NA_ADJECTIVE
具体的,ぐたいてき,NA_ADJECTIVE
円滑,えんかつ,NA_ADJECTIVE
冷ややか,ひややか,NA_ADJECTIVE
几帳面,きちょうめん,NA_ADJECTIVE
劇的,げきてき,NA_ADJECTIVE
勇敢,ゆうかん,NA_ADJECTIVE
勤勉,きんべん,NA_ADJECTIVE
十分,じゅうぶん,NA_ADJECTIVE
厳密,げんみつ,NA_ADJECTIVE
和やか,なごやか,NA_ADJECTIVE
堅実,けんじつ,NA_ADJECTIVE
多目的,たもくてき,NA_ADJECTIVE
大ざっぱ,おおざっぱ,NA_ADJECTIVE
大まか,おおまか,NA_ADJECTIVE
大丈夫,だいじょうぶ,NA_ADJECTIVE
大事,だいじ,NA_ADJECTIVE
大切,たいせつ,NA_ADJECTIVE
大好き,だいすき,NA_ADJECTIVE
大嫌い,だいきらい,NA_ADJECTIVE
女性的,じょせいてき,NA_ADJECTIVE
嫋か,しなやか,NA_ADJECTIVE
完璧,かんぺき,NA_ADJECTIVE
巧み,たくみ,NA_ADJECTIVE
平ら,たいら,NA_ADJECTIVE
微か,かすか,NA_ADJECTIVE
必然的,ひつぜんてき,NA_ADJECTIVE
必要,ひつよう,NA_ADJECTIVE
急,きゅう,NA_ADJECTIVE
急激,きゅうげき,NA_ADJECTIVE
惨め,みじめ,NA_ADJECTIVE
愚か,おろか,NA_ADJECTIVE
新鮮,しんせん,NA_ADJECTIVE
明らか,あきらか,NA_ADJECTIVE
明朗,めいろう,NA_ADJECTIVE
明確,めいかく,NA_ADJECTIVE
有名,ゆうめい,NA_ADJECTIVE
朗らか,ほがらか,NA_ADJECTIVE
気軽,きがる,NA_ADJECTIVE
消極的,しょうきょくてき,NA_ADJECTIVE
滑らか,なめらか,NA_ADJECTIVE
濃厚,のうこう,NA_ADJECTIVE
無茶苦茶,むちゃくちゃ,NA_ADJECTIVE
煌びやか,きらびやか,NA_ADJECTIVE
猛烈,もうれつ,NA_ADJECTIVE
画期的,かっきてき,NA_ADJECTIVE
疎か,おろそか,NA_ADJECTIVE
盛ん,さかん,NA_ADJECTIVE
直,なお,NA_ADJECTIVE
真剣,しんけん,NA_ADJECTIVE
知的,ちてき,NA_ADJECTIVE
私的,してき,NA_ADJECTIVE
稀,まれ,NA_ADJECTIVE
積極的,せっきょくてき,NA_ADJECTIVE
穏やか,おだやか,NA_ADJECTIVE
立派,りっぱ,NA_ADJECTIVE
簡潔,かんけつ,NA_ADJECTIVE
素敵,すてき,NA_ADJECTIVE
細やか,こまやか,NA_ADJECTIVE
綺麗,きれい,NA_ADJECTIVE
緩やか,ゆるやか,NA_ADJECTIVE
膨大,ぼうだい,NA_ADJECTIVE
莫大,ばくだい,NA_ADJECTIVE
論理的,ろんりてき,NA_ADJECTIVE
賑やか,にぎやか,NA_ADJECTIVE
速やか,すみやか,NA_ADJECTIVE
達者,たっしゃ,NA_ADJECTIVE
長閑,のどか,NA_ADJECTIVE
雑,ざつ,NA_ADJECTIVE
静か,しずか,NA_ADJECTIVE
静的,せいてき,NA_ADJECTIVE
頻繁,ひんぱん,NA_ADJECTIVE
びっしょり,びっしょり,NA_ADJECTIVE
まあまあ,まあまあ,NA_ADJECTIVE
見事,みごと,NA_ADJECTIVE
遥か,はるか,NA_ADJECTIVE
大抵,たいてい,NA_ADJECTIVE;NOUN
存分,ぞんぶん,NA_ADJECTIVE;NOUN
真っ直ぐ,まっすぐ,NA_ADJECTIVE;NOUN
結構,けっこう,NA_ADJECTIVE;NOUN
間近,まぢか,NA_ADJECTIVE;NOUN
生憎,あいにく,NA_ADJECTIVE;NOUN
意外,いがい,NA_ADJECTIVE;NOUN
あやふや,あやふや,NA_ADJECTIVE;NOUN
インターナショナル,いんたーなしょなる,NA_ADJECTIVE;NOUN
グレー,ぐれー,NA_ADJECTIVE;NOUN
ジャンボ,じゃんぼ,NA_ADJECTIVE;NOUN
ドライ,どらい,NA_ADJECTIVE;NOUN
ナンセンス,なんせんす,NA_ADJECTIVE;NOUN
ホット,ほッと,NA_ADJECTIVE;NOUN
ロマンチック,ろまんちッく,NA_ADJECTIVE;NOUN
一色,いっしょく,NA_ADJECTIVE;NOUN
丁寧,ていねい,NA_ADJECTIVE;NOUN
上がったり,あがったり,NA_ADJECTIVE;NOUN
上手,じょうず,NA_ADJECTIVE;NOUN
下品,げひん,NA_ADJECTIVE;NOUN
下手,へた,NA_ADJECTIVE;NOUN
不可欠,ふかけつ,NA_ADJECTIVE;NOUN
不可能,ふかのう,NA_ADJECTIVE;NOUN
不吉,ふきつ,NA_ADJECTIVE;NOUN
不安定,ふあんてい,NA_ADJECTIVE;NOUN
不審,ふしん,NA_ADJECTIVE;NOUN
不当,ふとう,NA_ADJECTIVE;NOUN
不必要,ふひつよう,NA_ADJECTIVE;NOUN
不思議,ふしぎ,NA_ADJECTIVE;NOUN
不明,ふめい,NA_ADJECTIVE;NOUN
不気味,ぶきみ,NA_ADJECTIVE;NOUN
不注意,ふちゅうい,NA_ADJECTIVE;NOUN
不潔,ふけつ,NA_ADJECTIVE;NOUN
不能,ふのう,NA_ADJECTIVE;NOUN
不自然,ふしぜん,NA_ADJECTIVE;NOUN
不規則,ふきそく,NA_ADJECTIVE;NOUN
不順,ふじゅん,NA_ADJECTIVE;NOUN
主要,しゅよう,NA_ADJECTIVE;NOUN
乙,おつ,NA_ADJECTIVE;NOUN
人柄,ひとがら,NA_ADJECTIVE;NOUN
余分,よぶん,NA_ADJECTIVE;NOUN
健やか,すこやか,NA_ADJECTIVE;NOUN
健全,けんぜん,NA_ADJECTIVE;NOUN
健在,けんざい,NA_ADJECTIVE;NOUN
傑作,けっさく,NA_ADJECTIVE;NOUN
傲慢,ごうまん,NA_ADJECTIVE;NOUN
優秀,ゆうしゅう,NA_ADJECTIVE;NOUN
優美,ゆうび,NA_ADJECTIVE;NOUN
元気,げんき,NA_ADJECTIVE;NOUN
円満,えんまん,NA_ADJECTIVE;NOUN
冷淡,れいたん,NA_ADJECTIVE;NOUN
冷酷,れいこく,NA_ADJECTIVE;NOUN
切実,せつじつ,NA_ADJECTIVE;NOUN
利便,りべん,NA_ADJECTIVE;NOUN
利口,りこう,NA_ADJECTIVE;NOUN
利根,りこん,NA_ADJECTIVE;NOUN
卑怯,ひきょう,NA_ADJECTIVE;NOUN
単純,たんじゅん,NA_ADJECTIVE;NOUN
単調,たんちょう,NA_ADJECTIVE;NOUN
厄介,やっかい,NA_ADJECTIVE;NOUN
厳格,げんかく,NA_ADJECTIVE;NOUN
厳重,げんじゅう,NA_ADJECTIVE;NOUN
可哀相,かわいそう,NA_ADJECTIVE;NOUN
可能,かのう,NA_ADJECTIVE;NOUN
台無し,だいなし,NA_ADJECTIVE;NOUN
味覚,みかく,NA_ADJECTIVE;NOUN
器用,きよう,NA_ADJECTIVE;NOUN
地味,じみ,NA_ADJECTIVE;NOUN
壮大,そうだい,NA_ADJECTIVE;NOUN
変,へん,NA_ADJECTIVE;NOUN
大げさ,おおげさ,NA_ADJECTIVE;NOUN
大幅,おおはば,NA_ADJECTIVE;NOUN
大柄,おおがら,NA_ADJECTIVE;NOUN
大胆,だいたん,NA_ADJECTIVE;NOUN
大規模,だいきぼ,NA_ADJECTIVE;NOUN
奇妙,きみょう,NA_ADJECTIVE;NOUN
好き,すき,NA_ADJECTIVE;NOUN
妙,みょう,NA_ADJECTIVE;NOUN
妥当,だとう,NA_ADJECTIVE;NOUN
婉曲,えんきょく,NA_ADJECTIVE;NOUN
嫌,いや,NA_ADJECTIVE;NOUN
嫌い,きらい,NA_ADJECTIVE;NOUN
安易,あんい,NA_ADJECTIVE;NOUN
容易,ようい,NA_ADJECTIVE;NOUN
密,みつ,NA_ADJECTIVE;NOUN
密か,ひそか,NA_ADJECTIVE;NOUN
密接,みっせつ,NA_ADJECTIVE;NOUN
寛大,かんだい,NA_ADJECTIVE;NOUN
小規模,しょうきぼ,NA_ADJECTIVE;NOUN
巧妙,こうみょう,NA_ADJECTIVE;NOUN
巨大,きょだい,NA_ADJECTIVE;NOUN
希少,きしょう,NA_ADJECTIVE;NOUN
希薄,きはく,NA_ADJECTIVE;NOUN
師範,しはん,NA_ADJECTIVE;NOUN
平凡,へいぼん,NA_ADJECTIVE;NOUN
平和,へいわ,NA_ADJECTIVE;NOUN
広大,こうだい,NA_ADJECTIVE;NOUN
強力,きょうりょく,NA_ADJECTIVE;NOUN
強引,ごういん,NA_ADJECTIVE;NOUN
強烈,きょうれつ,NA_ADJECTIVE;NOUN
強硬,きょうこう,NA_ADJECTIVE;NOUN
得,とく,NA_ADJECTIVE;NOUN
微妙,びみょう,NA_ADJECTIVE;NOUN
忠実,ちゅうじつ,NA_ADJECTIVE;NOUN
快適,かいてき,NA_ADJECTIVE;NOUN
怠惰,たいだ,NA_ADJECTIVE;NOUN
急速,きゅうそく,NA_ADJECTIVE;NOUN
悪質,あくしつ,NA_ADJECTIVE;NOUN
悲惨,ひさん,NA_ADJECTIVE;NOUN
愉快,ゆかい,NA_ADJECTIVE;NOUN
慎重,しんちょう,NA_ADJECTIVE;NOUN
我が儘,わがまま,NA_ADJECTIVE;NOUN
手ごろ,てごろ,NA_ADJECTIVE;NOUN
手軽,てがる,NA_ADJECTIVE;NOUN
敏感,びんかん,NA_ADJECTIVE;NOUN
新た,あらた,NA_ADJECTIVE;NOUN
旺盛,おうせい,NA_ADJECTIVE;NOUN
明快,めいかい,NA_ADJECTIVE;NOUN
明瞭,めいりょう,NA_ADJECTIVE;NOUN
暢気,のんき,NA_ADJECTIVE;NOUN
曖昧,あいまい,NA_ADJECTIVE;NOUN
最上,さいじょう,NA_ADJECTIVE;NOUN
有利,ゆうり,NA_ADJECTIVE;NOUN
有力,ゆうりょく,NA_ADJECTIVE;NOUN
有効,ゆうこう,NA_ADJECTIVE;NOUN
有害,ゆうがい,NA_ADJECTIVE;NOUN
有望,ゆうぼう,NA_ADJECTIVE;NOUN
有用,ゆうよう,NA_ADJECTIVE;NOUN
有益,ゆうえき,NA_ADJECTIVE;NOUN
有能,ゆうのう,NA_ADJECTIVE;NOUN
柔軟,じゅうなん,NA_ADJECTIVE;NOUN
楽しみ,たのしみ,NA_ADJECTIVE;NOUN
様々,さまざま,NA_ADJECTIVE;NOUN
機敏,きびん,NA_ADJECTIVE;NOUN
正当,せいとう,NA_ADJECTIVE;NOUN
正直,しょうじき,NA_ADJECTIVE;NOUN
正確,せいかく,NA_ADJECTIVE;NOUN
残念,ざんねん,NA_ADJECTIVE;NOUN
残虐,ざんぎゃく,NA_ADJECTIVE;NOUN
残酷,ざんこく,NA_ADJECTIVE;NOUN
気の毒,きのどく,NA_ADJECTIVE;NOUN
気まぐれ,きまぐれ,NA_ADJECTIVE;NOUN
気楽,きらく,NA_ADJECTIVE;NOUN
気障,きざ,NA_ADJECTIVE;NOUN
活発,かっぱつ,NA_ADJECTIVE;NOUN
派手,はで,NA_ADJECTIVE;NOUN
深刻,しんこく,NA_ADJECTIVE;NOUN
清らか,きよらか,NA_ADJECTIVE;NOUN
清潔,せいけつ,NA_ADJECTIVE;NOUN
清純,せいじゅん,NA_ADJECTIVE;NOUN
温和,おんわ,NA_ADJECTIVE;NOUN
温暖,おんだん,NA_ADJECTIVE;NOUN
滑稽,こっけい,NA_ADJECTIVE;NOUN
無意味,むいみ,NA_ADJECTIVE;NOUN
無理,むり,NA_ADJECTIVE;NOUN
無用,むよう,NA_ADJECTIVE;NOUN
無茶,むちゃ,NA_ADJECTIVE;NOUN
無邪気,むじゃき,NA_ADJECTIVE;NOUN
無難,ぶなん,NA_ADJECTIVE;NOUN
熱心,ねっしん,NA_ADJECTIVE;NOUN
爽やか,さわやか,NA_ADJECTIVE;NOUN
物騒,ぶっそう,NA_ADJECTIVE;NOUN
率直,そっちょく,NA_ADJECTIVE;NOUN
生意気,なまいき,NA_ADJECTIVE;NOUN
生真面目,きまじめ,NA_ADJECTIVE;NOUN
痛切,つうせつ,NA_ADJECTIVE;NOUN
的確,てきかく,NA_ADJECTIVE;NOUN
盛大,せいだい,NA_ADJECTIVE;NOUN
目茶苦茶,めちゃくちゃ,NA_ADJECTIVE;NOUN
真っ暗,まっくら,NA_ADJECTIVE;NOUN
真っ赤,まっか,NA_ADJECTIVE;NOUN
真っ青,まっさお,NA_ADJECTIVE;NOUN
真っ黒,まっくろ,NA_ADJECTIVE;NOUN
真空,しんくう,NA_ADJECTIVE;NOUN
真面目,まじめ,NA_ADJECTIVE;NOUN
着実,ちゃくじつ,NA_ADJECTIVE;NOUN
知名,ちめい,NA_ADJECTIVE;NOUN
確か,たしか,NA_ADJECTIVE;NOUN
確実,かくじつ,NA_ADJECTIVE;NOUN
窮屈,きゅうくつ,NA_ADJECTIVE;NOUN
簡単,かんたん,NA_ADJECTIVE;NOUN
粉々,こなごな,NA_ADJECTIVE;NOUN
粋,いき,NA_ADJECTIVE;NOUN
粗末,そまつ,NA_ADJECTIVE;NOUN
精密,せいみつ,NA_ADJECTIVE;NOUN
精巧,せいこう,NA_ADJECTIVE;NOUN
素朴,そぼく,NA_ADJECTIVE;NOUN
素直,すなお,NA_ADJECTIVE;NOUN
繊細,せんさい,NA_ADJECTIVE;NOUN
臆病,おくびょう,NA_ADJECTIVE;NOUN
良好,りょうこう,NA_ADJECTIVE;NOUN
苦手,にがて,NA_ADJECTIVE;NOUN
英明,えいめい,NA_ADJECTIVE;NOUN
華やか,はなやか,NA_ADJECTIVE;NOUN
華奢,かしゃ,NA_ADJECTIVE;NOUN
著名,ちょめい,NA_ADJECTIVE;NOUN
薄弱,はくじゃく,NA_ADJECTIVE;NOUN
裕福,ゆうふく,NA_ADJECTIVE;NOUN
複雑,ふくざつ,NA_ADJECTIVE;NOUN
親切,しんせつ,NA_ADJECTIVE;NOUN
親密,しんみつ,NA_ADJECTIVE;NOUN
誠実,せいじつ,NA_ADJECTIVE;NOUN
謙虚,けんきょ,NA_ADJECTIVE;NOUN
豊富,ほうふ,NA_ADJECTIVE;NOUN
豪華,ごうか,NA_ADJECTIVE;NOUN
貧乏,びんぼう,NA_ADJECTIVE;NOUN
貧弱,ひんじゃく,NA_ADJECTIVE;NOUN
貴重,きちょう,NA_ADJECTIVE;NOUN
賢明,けんめい,NA_ADJECTIVE;NOUN
質素,しっそ,NA_ADJECTIVE;NOUN
躍起,やっき,NA_ADJECTIVE;NOUN
身近,みぢか,NA_ADJECTIVE;NOUN
軽快,けいかい,NA_ADJECTIVE;NOUN
軽率,けいそつ,NA_ADJECTIVE;NOUN
迅速,じんそく,NA_ADJECTIVE;NOUN
過激,かげき,NA_ADJECTIVE;NOUN
過酷,かこく,NA_ADJECTIVE;NOUN
適切,てきせつ,NA_ADJECTIVE;NOUN
適当,てきとう,NA_ADJECTIVE;NOUN
適正,てきせい,NA_ADJECTIVE;NOUN
重大,じゅうだい,NA_ADJECTIVE;NOUN
重要,じゅうよう,NA_ADJECTIVE;NOUN
野蛮,やばん,NA_ADJECTIVE;NOUN
鈍感,どんかん,NA_ADJECTIVE;NOUN
陰気,いんき,NA_ADJECTIVE;NOUN
陽気,ようき,NA_ADJECTIVE;NOUN
静粛,せいしゅく,NA_ADJECTIVE;NOUN
順調,じゅんちょう,NA_ADJECTIVE;NOUN
頑丈,がんじょう,NA_ADJECTIVE;NOUN
頑固,がんこ,NA_ADJECTIVE;NOUN
高価,こうか,NA_ADJECTIVE;NOUN
高名,こうめい,NA_ADJECTIVE;NOUN
高尚,こうしょう,NA_ADJECTIVE;NOUN
ソフト,そふと,NA_ADJECTIVE;NOUN
ベスト,べすと,NA_ADJECTIVE;NOUN
僅か,わずか,NA_ADJECTIVE;NOUN
動的,どうてき,NA_ADJECTIVE;NOUN
多様,たよう,NA_ADJECTIVE;NOUN
御洒落,おしゃれ,NA_ADJECTIVE;NOUN
必死,ひっし,NA_ADJECTIVE;NOUN
明白,あからさま,NA_ADJECTIVE;NOUN
豪儀,ごうぎ,NA_ADJECTIVE;NOUN
適宜,てきぎ,NA_ADJECTIVE;NOUN
色々,いろいろ,NA_ADJECTIVE;NOUN
だぶだぶ,だぶだぶ,NA_ADJECTIVE;NOUN
久々,ひさびさ,NA_ADJECTIVE;NOUN
特別,とくべつ,NA_ADJECTIVE;NOUN
オートマチック,おーとまちッく,NA_ADJECTIVE;NOUN
一様,いちよう,NA_ADJECTIVE;NOUN
不意,ふい,NA_ADJECTIVE;NOUN
不調,ふちょう,NA_ADJECTIVE;NOUN
久しぶり,ひさしぶり,NA_ADJECTIVE;NOUN
俄,にわか,NA_ADJECTIVE;NOUN
優良,ゆうりょう,NA_ADJECTIVE;NOUN
前向き,まえむき,NA_ADJECTIVE;NOUN
単一,たんいつ,NA_ADJECTIVE;NOUN
合法,ごうほう,NA_ADJECTIVE;NOUN
同等,どうとう,NA_ADJECTIVE;NOUN
善良,ぜんりょう,NA_ADJECTIVE;NOUN
四角,しかく,NA_ADJECTIVE;NOUN
均一,きんいつ,NA_ADJECTIVE;NOUN
垂直,すいちょく,NA_ADJECTIVE;NOUN
多大,ただい,NA_ADJECTIVE;NOUN
多彩,たさい,NA_ADJECTIVE;NOUN
夢中,むちゅう,NA_ADJECTIVE;NOUN
大量,たいりょう,NA_ADJECTIVE;NOUN
太っ腹,ふとっぱら,NA_ADJECTIVE;NOUN
好調,こうちょう,NA_ADJECTIVE;NOUN
完全,かんぜん,NA_ADJECTIVE;NOUN
小柄,こがら,NA_ADJECTIVE;NOUN
弱気,よわき,NA_ADJECTIVE;NOUN
強気,つよき,NA_ADJECTIVE;NOUN
新鋭,しんえい,NA_ADJECTIVE;NOUN
早急,そうきゅう,NA_ADJECTIVE;NOUN
最悪,さいあく,NA_ADJECTIVE;NOUN
最適,さいてき,NA_ADJECTIVE;NOUN
未熟,みじゅく,NA_ADJECTIVE;NOUN
極秘,ごくひ,NA_ADJECTIVE;NOUN
正式,せいしき,NA_ADJECTIVE;NOUN
水平,すいへい,NA_ADJECTIVE;NOUN
清浄,せいじょう,NA_ADJECTIVE;NOUN
無力,むりょく,NA_ADJECTIVE;NOUN
無口,むくち,NA_ADJECTIVE;NOUN
無関係,むかんけい,NA_ADJECTIVE;NOUN
特殊,とくしゅ,NA_ADJECTIVE;NOUN
甘口,あまくち,NA_ADJECTIVE;NOUN
真っ白,まっしろ,NA_ADJECTIVE;NOUN
簡易,かんい,NA_ADJECTIVE;NOUN
純粋,じゅんすい,NA_ADJECTIVE;NOUN
緑色,みどりいろ,NA_ADJECTIVE;NOUN
良質,りょうしつ,NA_ADJECTIVE;NOUN
苦痛,くつう,NA_ADJECTIVE;NOUN
逆様,さかさま,NA_ADJECTIVE;NOUN
透明,とうめい,NA_ADJECTIVE;NOUN
過密,かみつ,NA_ADJECTIVE;NOUN
過度,かど,NA_ADJECTIVE;NOUN
違法,いほう,NA_ADJECTIVE;NOUN
適度,てきど,NA_ADJECTIVE;NOUN
高等,こうとう,NA_ADJECTIVE;NOUN
高級,こうきゅう,NA_ADJECTIVE;NOUN
高速,こうそく,NA_ADJECTIVE;NOUN
相応,そうおう,NA_ADJECTIVE;NOUN;SURU
有数,ゆうすう,NA_ADJECTIVE;NOUN
直接,ちょくせつ,NA_ADJECTIVE;NOUN
加算,かさん,NA_ADJECTIVE;NOUN;SURU
多用,たよう,NA_ADJECTIVE;NOUN;SURU
大喜び,おおよろこび,NA_ADJECTIVE;NOUN;SURU
